Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
JOHN WITWER,University of Mississippi,47,D,18,0,2,2,0,1,0,0,18,0
DANIEL MULLIGAN,University of Mississippi,12,D,18,0,2,2,0,0,0,0,18,0
NATHANIEL FOLCIK,Florida Institute of Technology - FCHC,"5, 7",D,19,0,2,2,0,0,0,1,2,0
ELIJAH VAILLANCOURT,Hofstra University,52,LW,19,0,2,2,0,0,0,0,4,0
SEAN BRESLIN,Fordham University,5,D,20,0,2,2,0,0,0,1,16,0
PRICE ALPHIN,University of North Carolina - Charlotte,24,D,22,0,2,2,0,1,0,0,2,0
THOMAS BATCHELOR,University of Central Florida,10,D,29,0,2,2,0,1,0,0,18,0
MORGAN BENSEL,West Chester University ACHA D2,14,–,1,1,0,1,0,0,0,0,0,0
TYLER FEARON,Seton Hall University,11,–,1,1,0,1,0,0,0,0,0,0
EVAN TYTRAN,Appalachian State,16,–,1,1,0,1,0,0,0,0,0,0
JUSTIN PETRACCO,Seton Hall University,33,–,1,1,0,1,0,0,0,0,2,0
TED DYER,Georgetown University ACHA D2,22,–,1,1,0,1,0,0,0,0,0,0
FRAZER DODD,Alvernia University,53,F,1,1,0,1,0,0,0,0,2,0
JOSEPH JANNELLI,Embry-Riddle University - FCHC,5,F,1,1,0,1,0,0,0,0,0,0
NICK SERAPAGLIA,Seton Hall University,61,F,1,1,0,1,0,0,0,0,0,0
DOUG HARRISON,St. Thomas Aquinas College,9,–,1,1,0,1,0,0,0,0,0,0
DREW LORENZ,St. Thomas Aquinas College,28,–,1,1,0,1,0,0,0,0,0,0
ADAM HENNESSEY,Millersville ACHA D2,17,–,1,1,0,1,0,0,0,0,0,0
ANTHONY RENDULICH,St. Vincent's College,5,D,1,1,0,1,1,0,0,0,0,0
MASON BURDICK,University of Florida (D3),29,–,1,1,0,1,0,0,0,0,0,0
MICHAEL SOFIA,University at Delaware - D2,2,D,1,1,0,1,0,0,0,0,0,0
TIM DONOVAN,Virginia Tech University,26,–,1,1,0,1,0,0,0,0,0,0
CONNER KAKZNY,Niagara County Community College,12,–,1,1,0,1,0,0,0,0,0,0
MATTHEW TOMASELLI,Mercyhurst University,0,F,1,1,0,1,0,0,0,0,0,0
JAKE SMITH,University of Maryland (D3),88,–,1,1,0,1,0,0,0,0,2,0
FREDERICK BROPHY,University of Georgia,28,F,1,1,0,1,0,0,0,0,0,0
BEN CAREY,Niagara County Community College,16,–,1,1,0,1,0,0,0,0,2,0
PLAYER TAYLOR,St. Thomas Aquinas College,13,–,1,1,0,1,0,0,0,0,0,0
CONNOR MOMROW,Fairfield University,93,F,1,1,0,1,0,0,0,0,0,0
LOGAN GALLAGHER,Sacred Heart University - MCHC,17,–,1,1,0,1,0,0,0,0,0,0
JUSTIN CARRELLI,Millersville ACHA D2,15,–,1,1,0,1,1,0,0,0,0,0
SCOTT STRAUSS,Virginia Tech University,3,–,1,1,0,1,1,0,0,0,5,0
BEN WARNER,Southern New Hampshire University,12,–,1,1,0,1,0,0,0,0,2,0
TERIQ MAPP,West Chester University ACHA D2,19,F,1,1,0,1,0,0,0,0,2,0
BEN  REYNOLDS,Southern New Hampshire University,13,–,1,1,0,1,0,0,0,0,0,0
ERIK HODGKINS,Southern New Hampshire University,18,–,1,1,0,1,0,0,0,0,0,0
CHRIS HENN,Millersville ACHA D2,13,–,1,1,0,1,0,0,0,0,0,0
JOSEPH PASTORE,LeMoyne College,86,RW,1,1,0,1,0,0,0,0,0,0
ROSIE  DOERNER,College of William & Mary,7,–,1,1,0,1,0,0,0,0,0,0
ALEX RINALDI,Christopher Newport University,19,F,1,1,0,1,0,0,0,0,0,0
BROCK CHELLGREN,Kings Point Merchant Marine Academy - MCHC,90,–,1,1,0,1,0,0,0,0,2,0
DAMIAN FABRIZIO,West Chester University ACHA D2,10,F,1,1,0,1,1,0,0,0,0,0
PAT TORELLA,Bentley University,21,–,1,1,0,1,0,0,0,0,0,0
LANCE ANDERSON,Bentley University,17,–,1,1,0,1,0,0,1,0,2,0
CHASE SCHMIDL,Niagara County Community College,11,–,1,1,0,1,0,0,0,0,0,0
