Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
BEN NUGENT,Union College,5,D,1,0,0,0,0,0,0,0,0,0
CAM TRAINER,UNC-Wilmington ACHA D2,8,–,1,0,0,0,0,0,0,0,0,0
CAMERON PLANT,UNC-Wilmington ACHA D2,17,–,1,0,0,0,0,0,0,0,0,0
AUSTIN VENN,Alfred State College,5,–,1,0,0,0,0,0,0,0,2,0
J VANWYK,SUNY Geneseo,7,–,1,0,0,0,0,0,0,0,2,0
ANTHONY ALTINI,SUNY Maritime - MCHC,3,–,1,0,0,0,0,0,0,0,5,0
JOSEPH LOESING,SUNY Maritime - MCHC,9,–,1,0,0,0,0,0,0,0,0,0
NICHOLAS VERTUCCI,SUNY Maritime - MCHC,11,–,1,0,0,0,0,0,0,0,4,0
TIMOTHY NICHOLS,SUNY Maritime - MCHC,15,–,1,0,0,0,0,0,0,0,0,0
ZACHARY CHRINKIN,SUNY Maritime - MCHC,16,–,1,0,0,0,0,0,0,0,4,0
STEPHEN BUCHHEIT,SUNY Maritime - MCHC,20,–,1,0,0,0,0,0,0,0,0,0
JORDAN MAZZARO,SUNY Maritime - MCHC,27,–,1,0,0,0,0,0,0,0,0,0
ANTHONY HUGHES,SUNY Maritime - MCHC,40,–,1,0,0,0,0,0,0,0,0,0
MICHAEL PHILBIN,SUNY Maritime - MCHC,43,–,1,0,0,0,0,0,0,0,0,0
BRIAN MOLONEY,SUNY Maritime - MCHC,44,–,1,0,0,0,0,0,0,0,0,0
MATTHEW HUDAK,SUNY Maritime - MCHC,46,–,1,0,0,0,0,0,0,0,0,0
JACK CLOUGHER,SUNY Maritime - MCHC,47,–,1,0,0,0,0,0,0,0,0,0
ROY MAWHINNEY,SUNY Maritime - MCHC,49,–,1,0,0,0,0,0,0,0,0,0
DYLAN TRABOSH,SUNY Maritime - MCHC,71,–,1,0,0,0,0,0,0,0,2,0
RYAN CHAREST,Union College,3,D,1,0,0,0,0,0,0,0,0,0
MARK GOLDSHER,Union College,22,D,1,0,0,0,0,0,0,0,0,0
SIMONE LOYSEN,University of Maryland Baltimore County,29,LW,1,0,0,0,0,0,0,0,0,0
N BROWN,Nichols College,76,LW,1,0,0,0,0,0,0,0,0,0
N PATTERSON,Nichols College,75,D,1,0,0,0,0,0,0,0,0,0
P TSOUKALIS,Nichols College,61,LW,1,0,0,0,0,0,0,0,0,0
J RIVARD,Nichols College,34,D,1,0,0,0,0,0,0,0,0,0
MATTHEW HAMBRECHT,University of Maryland Baltimore County,87,D,1,0,0,0,0,0,0,0,0,0
C RANCOURT,Nichols College,11,F,1,0,0,0,0,0,0,0,0,0
J SPIEGELMAN,Nichols College,7,D,1,0,0,0,0,0,0,0,0,0
TUCKER ST LAWRENCE,Colgate University,5,D,1,0,0,0,0,0,0,0,2,0
MATTHEW PUGLIESE,Colgate University,66,D,1,0,0,0,0,0,0,0,0,0
RYAN BRUIN,High Point University,19,C,1,0,0,0,0,0,0,0,0,0
KENNETH FERRARA,Coastal Carolina University,16,F,1,0,0,0,0,0,0,0,0,0
MATTHEW CALENZO,Colgate University,20,D,1,0,0,0,0,0,0,0,0,0
SARGENT JOHNSON,Colgate University,2,C,1,0,0,0,0,0,0,0,0,0
JACK RYAN,Coastal Carolina University,37,F,1,0,0,0,0,0,0,0,0,0
CAMERON BRADACH,Kennesaw State University,17,F,1,0,0,0,0,0,0,0,0,0
GRIFFIN SIEGFRIED,Salisbury University,18,D,1,0,0,0,0,0,0,0,6,0
CHRIS M ENDELL,Columbia University - MCHC,3,–,1,0,0,0,0,0,0,0,0,0
SAMUEL FREILICH,Columbia University - MCHC,55,–,1,0,0,0,0,0,0,0,0,0
SHANE WARD,Alvernia University,91,F,1,0,0,0,0,0,0,0,0,0
YURIY NAZARKO,University of South Florida - FCHC,11,LW,1,0,0,0,0,0,0,0,2,0
TALBOT CLARK,University of South Florida - FCHC,14,F,1,0,0,0,0,0,0,0,0,0
TRENTON BOYCE,University of Central Florida,24,F,1,0,0,0,0,0,0,0,0,0
MICHAEL MORENA,Southern Connecticut State University,0,RW,1,0,0,0,0,0,0,0,0,0
CLAYTON SANDERS,University of South Florida - FCHC,16,D,1,0,0,0,0,0,0,0,2,0
JACOB FOSTER,Catholic University,15,D,1,0,0,0,0,0,0,0,0,0
FRANCIS KINLIN,Hamilton College,11,LW,1,0,0,0,0,0,0,0,0,0
AIDIAN CHAN,Mercyhurst University,19,F,1,0,0,0,0,0,0,0,0,0
DOMINIC ZEPPIERI,Mercyhurst University,18,F,1,0,0,0,0,0,0,0,0,0
GENO  OPRIUSIU,Mercyhurst University,16,D,1,0,0,0,0,0,0,0,0,0
NATE BOULÉ,Union College,23,C,1,0,0,0,0,0,0,0,0,0
CONNOR PIECUCH,Mercyhurst University,28,D,1,0,0,0,0,0,0,0,0,0
JOHN OGEKA,Mercyhurst University,2,D,1,0,0,0,0,0,0,0,0,0
LUKE T,Duke University ACHA D2,22,–,1,0,0,0,0,0,0,0,0,0
KEATON WATTS,University of Alabama - Huntsville,17,F,1,0,0,0,0,0,0,0,12,0
X CHO,University of Maryland (D3),24,–,1,0,0,0,0,0,0,0,4,0
JORDAN SHEPHERD,Embry-Riddle University,93,F,1,0,0,0,0,0,0,0,0,0
MATT MCCUNE,Canisius College (ACHA D1),2,–,1,0,0,0,0,0,0,0,0,0
CONNOR SCHWARTZ,Canisius College (ACHA D1),4,–,1,0,0,0,0,0,0,0,0,0
JESSE CALHOUN,Canisius College (ACHA D1),11,–,1,0,0,0,0,0,0,0,2,0
WILL TRICARICO,Canisius College (ACHA D1),12,–,1,0,0,0,0,0,0,0,4,0
MIKE YOCHUM,Canisius College (ACHA D1),15,–,1,0,0,0,0,0,0,0,0,0
KYLE NEUDORF,Canisius College (ACHA D1),18,–,1,0,0,0,0,0,0,0,0,0
JOHN KRIER,Canisius College (ACHA D1),19,–,1,0,0,0,0,0,0,0,2,0
DAN ZACCARINE,Canisius College (ACHA D1),22,–,1,0,0,0,0,0,0,0,0,0
JAKE PRUNIER,Canisius College (ACHA D1),25,–,1,0,0,0,0,0,0,0,0,0
JOE MCGUIRE,Canisius College (ACHA D1),32,–,1,0,0,0,0,0,0,0,0,0
MIKE MERRELL,Canisius College (ACHA D1),71,–,1,0,0,0,0,0,0,0,0,0
JUSTIN LALLAN,Coastal Carolina University,2,–,1,0,0,0,0,0,0,0,0,0
BRENDAN ENDDOW,Coastal Carolina University,9,–,1,0,0,0,0,0,0,0,0,0
RYAN BARTLEY,Coastal Carolina University,24,–,1,0,0,0,0,0,0,0,2,0
PAT BRADY,Bentley University,18,–,1,0,0,0,0,0,0,0,4,0
JACK JURKOVICH,John Hopkins University,9,RW,1,0,0,0,0,0,0,0,5,0
KYLE BURTON,West Chester University ACHA D2,5,D,1,0,0,0,0,0,0,0,0,0
LEVI JONES,West Chester University ACHA D2,9,F,1,0,0,0,0,0,0,0,2,0
TAYLAN WEISZER,West Chester University ACHA D2,17,F,1,0,0,0,0,0,0,0,2,0
KYLE MCCORMICK,West Chester University ACHA D2,18,D,1,0,0,0,0,0,0,0,0,0
GANLY MATT,West Chester University ACHA D2,21,D,1,0,0,0,0,0,0,0,0,0
MATT PETUSKY,West Chester University ACHA D2,28,F,1,0,0,0,0,0,0,0,0,0
LANDON DEAN,University of Maryland (D3),43,–,1,0,0,0,0,0,0,0,0,0
JORDAN FOLTZ,University of South Florida - FCHC,18,–,1,0,0,0,0,0,0,0,0,0
CONNOR LABRECQUE,University of Georgia,18,F,1,0,0,0,0,0,0,0,2,0
MATTHEW MCGOVERN,University of South Florida - FCHC,10,–,1,0,0,0,0,0,0,0,9,0
ALICIA HIIS,University of Maryland Baltimore County,4,D,1,0,0,0,0,0,0,0,0,0
MARGARET VANVRANKEN,University of Maryland Baltimore County,23,D,1,0,0,0,0,0,0,0,0,0
ERIC AFZELIUS,Bucknell University,15,D,1,0,0,0,0,0,0,0,0,0
JOHN BULSON,University At Albany,2,D,1,0,0,0,0,0,0,0,0,0
GABE GORLENKO,University At Albany,3,F,1,0,0,0,0,0,0,0,0,0
RHONAN KEGGLAR,University At Albany,4,F,1,0,0,0,0,0,0,0,0,0
WILLIE MANN,University At Albany,5,D,1,0,0,0,0,0,0,0,0,0
MICHAEL CANCILLA,University At Albany,8,D,1,0,0,0,0,0,0,0,0,0
MIKE SCHUR,University At Albany,13,F,1,0,0,0,0,0,0,0,2,0
BRENDAN COOPER,University At Albany,14,F,1,0,0,0,0,0,0,0,0,0
REBECCA GREGG,University At Albany,21,F,1,0,0,0,0,0,0,0,0,0
MATT ZANELOTTI,University At Albany,28,F,1,0,0,0,0,0,0,0,0,0
CARTER BANDIERE,Gettysburg College,9,–,1,0,0,0,0,0,0,0,0,0
KAT HORSLEY,Franklin & Marshall College,4,–,1,0,0,0,0,0,0,0,0,0
JEFF KRIPNER,Franklin & Marshall College,15,–,1,0,0,0,0,0,0,0,0,0
COREY RICHARDSON,West Virginia MD3,4,D,1,0,0,0,0,0,0,0,0,0
CHRISTIAN YOUNG,West Virginia MD3,20,F,1,0,0,0,0,0,0,0,0,0
BRADEN PHILLIPS,West Virginia MD3,24,F,1,0,0,0,0,0,0,0,2,0
NIKOLAI CHERNITSKY,West Virginia MD3,25,D,1,0,0,0,0,0,0,0,2,0
KEVIN BOTT,West Virginia MD3,34,F,1,0,0,0,0,0,0,0,0,0
NICK PIATEK,West Virginia MD3,36,F,1,0,0,0,0,0,0,0,0,0
TRE HENRY,West Virginia MD3,45,D,1,0,0,0,0,0,0,0,2,0
MASON SMITH,West Virginia MD3,68,F,1,0,0,0,0,0,0,0,0,0
ANDREW BAIBOS,West Virginia MD3,69,D,1,0,0,0,0,0,0,0,0,0
NICK AVGOUSTI,West Virginia MD3,71,F,1,0,0,0,0,0,0,0,0,0
PAYTON DONCIA,West Virginia MD3,74,D,1,0,0,0,0,0,0,0,0,0
DAN ARTHURS,West Virginia MD3,77,F,1,0,0,0,0,0,0,0,0,0
JOE DAULERIO,West Virginia MD3,80,F,1,0,0,0,0,0,0,0,0,0
JJ PETERS,West Virginia MD3,82,D,1,0,0,0,0,0,0,0,0,0
TOMMY MAZZARA,West Virginia MD3,85,D,1,0,0,0,0,0,0,0,0,0
TOMMY HOY,West Virginia MD3,86,F,1,0,0,0,0,0,0,0,0,0
JAMES BAILEY,West Virginia MD3,88,F,1,0,0,0,0,0,0,0,0,0
CARTER KLINE,West Virginia MD3,92,F,1,0,0,0,0,0,0,0,0,0
MAT KATZ,West Virginia MD3,95,F,1,0,0,0,0,0,0,0,0,0
MATT MULLANEY,Mass Maritime Academy,7,–,1,0,0,0,0,0,0,0,2,0
CHRIS  COLBERT,Mass Maritime Academy,16,F,1,0,0,0,0,0,0,0,0,0
SEAN COLBERT,Mass Maritime Academy,17,–,1,0,0,0,0,0,0,0,2,0
THOMAS HILL,Millersville University,18,F,1,0,0,0,0,0,0,0,0,0
STEVE ROSSI,Florida Institute of Technology - FCHC,14,F,1,0,0,0,0,0,0,0,0,0
MATTHEW HARDING,University of New Hampshire - D3,2,F,1,0,0,0,0,0,0,0,0,0
LUKE DARLING,The Citadel,10,RW,1,0,0,0,0,0,0,0,0,0
KANON ORR,Christopher Newport University,44,D,1,0,0,0,0,0,0,0,2,0
JIMMY GRIFFIN,Seton Hall University,8,F,1,0,0,0,0,0,0,0,0,0
TYLER OLEARY,Seton Hall University,10,–,1,0,0,0,0,0,0,0,0,0
NICK  MANGANO,Seton Hall University,13,–,1,0,0,0,0,0,0,0,0,0
RYAN WESTERFIELD,Seton Hall University,19,–,1,0,0,0,0,0,0,0,0,0
MIKE  MASCOLO,Seton Hall University,21,–,1,0,0,0,0,0,0,0,0,0
TIMOTHY TOOMER,The Citadel,8,F,1,0,0,0,0,0,0,0,0,0
LIAM  HOYT,Seton Hall University,23,–,1,0,0,0,0,0,0,0,0,0
LUKE KIRKOWSKI,Seton Hall University,25,–,1,0,0,0,0,0,0,0,0,0
BRENDEN OROURKE,Seton Hall University,37,–,1,0,0,0,0,0,0,0,0,0
JP WINKLE,Seton Hall University,44,–,1,0,0,0,0,0,0,0,0,0
THOMAS HEALY,Seton Hall University,55,F,1,0,0,0,0,0,0,0,0,0
JOEY CAMPORSALE,St. Thomas Aquinas College,4,–,1,0,0,0,0,0,0,0,0,0
SEAN KUNZ,St. Thomas Aquinas College,5,–,1,0,0,0,0,0,0,0,0,0
CARTER TAGLAN,St. Thomas Aquinas College,13,–,1,0,0,0,0,0,0,0,0,0
GREGORY DREFKO,St. Thomas Aquinas College,17,–,1,0,0,0,0,0,0,0,0,0
JACK GUERKA,St. Thomas Aquinas College,20,–,1,0,0,0,0,0,0,0,0,0
DEVIN NICCALL,St. Thomas Aquinas College,22,–,1,0,0,0,0,0,0,0,0,0
SHAWN BENSON,St. Thomas Aquinas College,23,–,1,0,0,0,0,0,0,0,0,0
JAMES TREMBLAY,St. Thomas Aquinas College,24,–,1,0,0,0,0,0,0,0,0,0
SEBASTIAN VINCI,St. Thomas Aquinas College,25,–,1,0,0,0,0,0,0,0,0,0
JACKSON HENRIKSON,The Citadel,88,F,1,0,0,0,0,0,0,0,0,0
VITO MANISCALCO,St. Thomas Aquinas College,30,–,1,0,0,0,0,0,0,0,0,0
JASON  DERBY,Hofstra University,31,–,1,0,0,0,0,0,0,0,0,0
MATHEW TWAROWSKI,Southern Connecticut State University,30,–,1,0,0,0,0,0,0,0,0,0
MAXWELL ORLICH,Union College,69,F,1,0,0,0,0,0,0,0,0,0
PATRICK JUDD,Kings Point Merchant Marine Academy - MCHC,5,–,1,0,0,0,0,0,0,0,0,0
MARK STEFANICK,Kings Point Merchant Marine Academy - MCHC,6,–,1,0,0,0,0,0,0,0,2,0
JEREMY GOLUB,Union College,43,RW,1,0,0,0,0,0,0,0,0,0
NICOLE STEFANICK,Kings Point Merchant Marine Academy - MCHC,8,–,1,0,0,0,0,0,0,0,0,0
REESE GRETZ,Kings Point Merchant Marine Academy - MCHC,10,–,1,0,0,0,0,0,0,0,0,0
KEVIN CRUZ,Kings Point Merchant Marine Academy - MCHC,11,–,1,0,0,0,0,0,0,0,0,0
HENRY ROOT,Kings Point Merchant Marine Academy - MCHC,13,–,1,0,0,0,0,0,0,0,0,0
JOHN SULLIVAN,Kings Point Merchant Marine Academy - MCHC,14,–,1,0,0,0,0,0,0,0,0,0
JOHN BIBEAU,Kings Point Merchant Marine Academy - MCHC,16,–,1,0,0,0,0,0,0,0,0,0
CHRIS CIPOLLA,Kings Point Merchant Marine Academy - MCHC,22,–,1,0,0,0,0,0,0,0,0,0
ROLIN ONARO,Kings Point Merchant Marine Academy - MCHC,24,–,1,0,0,0,0,0,0,0,0,0
LIAM PRIGMORE,Kings Point Merchant Marine Academy - MCHC,34,–,1,0,0,0,0,0,0,0,0,0
JOAN CIPOLLA,Kings Point Merchant Marine Academy - MCHC,50,–,1,0,0,0,0,0,0,0,2,0
KEEGAN SORMOS,Kings Point Merchant Marine Academy - MCHC,69,–,1,0,0,0,0,0,0,0,0,0
WYATT SMITH,Kings Point Merchant Marine Academy - MCHC,73,–,1,0,0,0,0,0,0,0,0,0
TYLER BUTLER,Kings Point Merchant Marine Academy - MCHC,91,–,1,0,0,0,0,0,0,0,0,0
MATT LICAMELI,Sacred Heart University - MCHC,3,–,1,0,0,0,0,0,0,0,0,0
CHRIS HUGHES,Sacred Heart University - MCHC,6,–,1,0,0,0,0,0,0,0,4,0
KYLE HORSA,Sacred Heart University - MCHC,8,–,1,0,0,0,0,0,0,0,0,0
MIKE ANGELETTE,Sacred Heart University - MCHC,11,–,1,0,0,0,0,0,0,0,0,0
STAN DUWAL,Sacred Heart University - MCHC,14,–,1,0,0,0,0,0,0,0,0,0
CHUCK SIKORSKI,Sacred Heart University - MCHC,16,–,1,0,0,0,0,0,0,0,0,0
ERIC FUGA,Sacred Heart University - MCHC,18,–,1,0,0,0,0,0,0,0,0,0
JOE SCHULER,Sacred Heart University - MCHC,19,–,1,0,0,0,0,0,0,0,0,0
THOMAS HOWELL,Sacred Heart University - MCHC,21,–,1,0,0,0,0,0,0,0,0,0
ZACH FORREST,Sacred Heart University - MCHC,22,–,1,0,0,0,0,0,0,0,0,0
AUSTIN JELLISON,Sacred Heart University - MCHC,23,–,1,0,0,0,0,0,0,0,2,0
JACK REID,Sacred Heart University - MCHC,26,–,1,0,0,0,0,0,0,0,0,0
MONTY GRAY,Sacred Heart University - MCHC,29,–,1,0,0,0,0,0,0,0,0,0
KYLE MEISTER,Montgomery College,2,–,1,0,0,0,0,0,0,0,0,0
JARED KATON,Montgomery College,3,–,1,0,0,0,0,0,0,0,0,0
SHANE SWEENEY,Montgomery College,6,–,1,0,0,0,0,0,0,0,0,0
MATT POSTORINO,Montgomery College,9,–,1,0,0,0,0,0,0,0,2,0
NIK PALTTALA,Montgomery College,11,–,1,0,0,0,0,0,0,0,0,0
DAN CVERVASH,Georgetown University ACHA D2,11,D,1,0,0,0,0,0,0,0,0,0
GABE FRANLO,Georgetown University ACHA D2,8,–,1,0,0,0,0,0,0,0,0,0
ROB CHURCHILL,Georgetown University ACHA D2,15,–,1,0,0,0,0,0,0,0,0,0
ANDREW CHAN,Georgetown University ACHA D2,6,–,1,0,0,0,0,0,0,0,0,0
FRANKIE GIALANELLA,Georgetown University ACHA D2,18,–,1,0,0,0,0,0,0,0,0,0
MIKE MUERE,Georgetown University ACHA D2,19,–,1,0,0,0,0,0,0,0,0,0
KYLE SIGGINS,UNC-Wilmington ACHA D2,74,–,1,0,0,0,0,0,0,0,0,0
TIM REATH,UNC-Wilmington ACHA D2,71,–,1,0,0,0,0,0,0,0,0,0
TYLER FEAST,UNC-Wilmington ACHA D2,44,F,1,0,0,0,0,0,0,0,0,0
SEAMAS OHARA,Georgetown University ACHA D2,23,–,1,0,0,0,0,0,0,0,0,0
MARK PERCHIA,Georgetown University ACHA D2,30,D,1,0,0,0,0,0,0,0,0,0
STEVE KANAKARIS,Rowan University,9,D,2,0,0,0,0,0,0,0,0,0
SEAN BROWN,University of Maryland Baltimore County,"30, 5",F,2,0,0,0,0,0,0,0,0,0
DYLAN STAHL,Coastal Carolina University,5,–,2,0,0,0,0,0,0,0,0,0
JEREMY WOLFE,United States Naval Academy,4,D,2,0,0,0,0,0,0,0,0,0
TED AIKEN,Colgate University,"7, 77",–,2,0,0,0,0,0,0,0,0,0
DANIEL BENTZ,Ithaca College,18,–,2,0,0,0,0,0,0,0,0,0
RYAN KURTYAN,LaSalle University,17,F,2,0,0,0,0,0,0,0,4,0
NILU CHIRCHIRILLO,Ithaca College,2,–,2,0,0,0,0,0,0,0,0,0
JUSTIN STAKE,Sacred Heart University,53,F,2,0,0,0,0,0,0,0,0,0
SCOTT SLATER,Columbia University - MCHC,24,D,2,0,0,0,0,0,0,0,5,0
WILL RUSCOE,Western Connecticut State University - MCHC,3,–,2,0,0,0,0,0,0,0,2,0
MICHAEL CLEMONS,University of Alabama - Huntsville,20,F,2,0,0,0,0,0,0,0,2,0
MAX BRISCOE,Western Connecticut State University - MCHC,22,–,2,0,0,0,0,0,0,0,2,0
ETHAN HOFFMAN,Christopher Newport University,80,–,2,0,0,0,0,0,0,0,2,0
IVAN BOGACH,University of Binghamton,6,D,2,0,0,0,0,0,0,0,2,0
CONNOR ABBOT,Western Connecticut State University - MCHC,39,–,2,0,0,0,0,0,0,0,0,0
JOHN MICELLI,Western Connecticut State University - MCHC,4,–,2,0,0,0,0,0,0,0,0,0
NICK LEONARD,Western Connecticut State University - MCHC,16,–,2,0,0,0,0,0,0,0,0,0
BENJAMIN CILLIE,John Hopkins University,16,F,2,0,0,0,0,0,0,0,0,0
GAVIN GOLISANO,Western Connecticut State University - MCHC,8,–,2,0,0,0,0,0,0,0,6,0
NICK HOWLETT,Western Connecticut State University - MCHC,19,–,2,0,0,0,0,0,0,0,2,0
BRADLEY ROCKEY,Lynn University,18,C,2,0,0,0,0,0,0,0,2,0
JOE STEFANELLI,Western Connecticut State University - MCHC,30,–,2,0,0,0,0,0,0,0,0,0
WILL REDDING,University of Miami,24,F,2,0,0,0,0,0,0,0,0,0
NICK DAHDAH,Stevens Institute of Technology - MCHC,25,–,2,0,0,0,0,0,0,0,2,0
TOM WHITTLE,Stevens Institute of Technology - MCHC,55,–,2,0,0,0,0,0,0,0,0,0
JOSH KOZAHAR,Stevens Institute of Technology - MCHC,92,–,2,0,0,0,0,0,0,0,2,0
ALLISON EBERHARDT,John Hopkins University,2,"F, RW",2,0,0,0,0,0,0,0,0,0
BENNETT DANVERS,Western Connecticut State University - MCHC,21,–,2,0,0,0,0,0,0,0,2,0
HARSHA MOHAN,John Hopkins University,69,"F, RW",2,0,0,0,0,0,0,0,0,0
NATE GUENARD,University of Georgia,48,F,2,0,0,0,0,0,0,0,2,0
JONATHAN WIELAND,Vanderbilt University,55,D,2,0,0,0,0,0,0,0,0,0
MEGAN PRATT,Appalachian State,6,LW,2,0,0,0,0,0,0,0,0,0
NICK BICSCHUCK,Suffolk Community College - MCHC,20,–,2,0,0,0,0,0,0,0,0,0
JOSHUA NEVILLE,Liberty University,77,C,2,0,0,0,0,0,0,0,0,0
ANDREW THORNTON,Liberty University,82,D,2,0,0,0,0,0,0,0,4,0
RYAN MCCORMICK,College of William & Mary,1,F,2,0,0,0,0,0,0,0,0,0
KANON ORR,Christopher Newport University,36,D,2,0,0,0,0,0,0,0,4,0
MAEVE HARRINGTON,Hamilton College,2,F,2,0,0,0,0,0,0,0,0,0
JUSTIN DESARO,Suffolk Community College - MCHC,31,–,2,0,0,0,0,0,0,0,0,0
JUSTIN BOYCE,Suffolk Community College - MCHC,25,–,2,0,0,0,0,0,0,0,0,0
KEATON WATTS,University of Alabama - Huntsville,33,C,2,0,0,0,0,0,0,0,0,0
MICHAEL CLEMONS,University of Alabama - Huntsville,"20, 21",RW,2,0,0,0,0,0,0,0,2,0
COLIN DEBEJIAN,Niagara University,22,D,2,0,0,0,0,0,0,0,2,0
MARGARET VANVRANKEN,University of Maryland Baltimore County,23,D,2,0,0,0,0,0,0,0,0,0
CHAYTON RINGWALD,University of Georgia,12,F,2,0,0,0,0,0,0,0,0,0
NOAH DALBEY,College of William & Mary,55,D,2,0,0,0,0,0,0,0,2,0
NICK ADAMS,"Stevens Institute of Technology - MCHC , St. Thomas Aquinas College",95,–,2,0,0,0,0,0,0,0,0,0
Stevens Institute of Technology - MCHC,95,–,1,0,0,0,0,0,0,0,0,0,
St. Thomas Aquinas College,95,–,1,0,0,0,0,0,0,0,0,0,
JOSEPH RASPANTE,Lynn University,1,F,2,0,0,0,0,0,0,0,0,0
JOSH KENT,Union College,17,F,2,0,0,0,0,0,0,0,0,0
JOSHUA HAMACHER,Appalachian State,31,LW,2,0,0,0,0,0,0,0,0,0
COLIN CRANE,Alfred State College,9,LW,2,0,0,0,0,0,0,0,0,0
NICHOLAS ENDERS,Colgate University,26,F,2,0,0,0,0,0,0,0,0,0
BRENDEN WETHERINGTON,Florida Southern College - FCHC,95,F,2,0,0,0,0,0,0,0,0,0
JACK FITZGERALD,Coastal Carolina University,82,F,2,0,0,0,0,0,0,0,0,0
VASILI KARALEWICH,"Stevens Institute of Technology - MCHC , St. Thomas Aquinas College",81,–,2,0,0,0,0,0,0,0,0,0
Stevens Institute of Technology - MCHC,81,–,1,0,0,0,0,0,0,0,0,0,
St. Thomas Aquinas College,81,–,1,0,0,0,0,0,0,0,0,0,
ARMEN RILEY,University of South Florida - FCHC,8,–,2,0,0,0,0,0,0,0,0,0
MATTHEW WROBEL,St Bonaventure University,9,F,2,0,0,0,0,0,0,0,0,0
CASE SANTA MARIA,University of Georgia,53,C,2,0,0,0,0,0,0,0,0,0
JUSTIN MARLER,Hamilton College,"1, 22",D,2,0,0,0,0,0,0,0,0,0
ZACHARY MAFFEO,Mass Maritime Academy,28,F,2,0,0,0,0,0,0,0,0,0
JACK TOWNSEND,High Point University,28,RW,2,0,0,0,0,0,0,0,0,0
BRAEDE BAILEY,Ithaca College,17,–,2,0,0,0,0,0,0,0,0,0
PIERCE RYAN,Coastal Carolina University,71,D,2,0,0,0,0,0,0,0,0,0
ANDREW BIALEK,Colgate University,4,D,2,0,0,0,0,0,0,0,2,0
AIDEN MACHANIC,Vanderbilt University,23,D,2,0,0,0,0,0,0,0,0,0
HENRY LEBED,American University,20,F,2,0,0,0,0,0,0,0,0,0
AIDEN FITZGERALD,Mass Maritime Academy,22,F,2,0,0,0,0,0,0,0,0,0
MATTHEW TOMASELLI,Mercyhurst University,21,F,2,0,0,0,0,0,0,0,0,0
CAMERON DEMOUY,Florida State University,42,–,2,0,0,0,0,0,0,0,2,0
ALICIA HIIS,University of Maryland Baltimore County,4,–,2,0,0,0,0,0,0,0,4,0
PATRICK KNOTT,University of Mississippi,"17, 3",–,2,0,0,0,0,0,0,0,0,0
CARTER GORDON,Colgate University,33,C,2,0,0,0,0,0,0,0,0,0
LUCAS MIRANDA,Cornell University,14,F,2,0,0,0,0,0,0,0,0,0
JOSHUA KOLESAR,University of Georgia,"28, 91",D,2,0,0,0,0,0,0,0,0,0
JOSHUA SMITH,Florida Institute of Technology - FCHC,83,F,2,0,0,0,0,0,0,0,0,0
COLBY SCOTT,Anna Maria College,20,F,2,0,0,0,0,0,0,0,0,0
FINN DAGGY,College of William & Mary,69,RW,2,0,0,0,0,0,0,0,4,0
JUSTIN HAUSMAN,University of Miami,"44, 9",F,2,0,0,0,0,0,0,0,2,0
KATRINA GRZESZCZUK,Hamilton College,20,F,2,0,0,0,0,0,0,0,0,0
NATHAN RUEDIGER,Penn St. Behrend,14,LW,2,0,0,0,0,0,0,0,0,0
DAN HERSEY,Salisbury University,69,F,2,0,0,0,0,0,0,0,0,0
SPENCER KIVLEVAN,Embry-Riddle University - FCHC,28,D,2,0,0,0,0,0,0,0,2,0
DAWSON JOWETT,High Point University,48,D,2,0,0,0,0,0,0,0,0,0
CHRISTOPHER MCPHILLIPS,Appalachian State,22,F,2,0,0,0,0,0,0,0,0,0
ROBERT DODRILL,Appalachian State,8,F,2,0,0,0,0,0,0,0,0,0
JACQUELINE AIELLO,Appalachian State,32,D,2,0,0,0,0,0,0,0,2,0
ALEX HUSSEY,Buffalo State College,67,D,2,0,0,0,0,0,0,0,0,0
ALLON LEVITIN,Niagara University,2,D,2,0,0,0,0,0,0,0,2,0
ROSEMARY DOERNER,College of William & Mary,9,F,2,0,0,0,0,0,0,0,0,0
SEAN OGORMAN,Anna Maria College,18,F,2,0,0,0,0,0,0,0,2,0
COLE NEWMAN,Buffalo State College,29,F,2,0,0,0,0,0,0,0,2,0
ETHAN COLLEMAN,University of Mary Washington,3,–,2,0,0,0,0,0,0,0,0,0
JEFF HYDE,Buffalo State College,18,D,2,0,0,0,0,0,0,0,0,0
SAMUEL THOMPSON,College of William & Mary,"14, 33",D,2,0,0,0,0,0,0,0,2,0
JARED KATON,Montgomery College,3,F,2,0,0,0,0,0,0,0,2,0
GARRETT FLEMMING,University of Mary Washington,4,–,2,0,0,0,0,0,0,0,0,0
JUSTIN CULP-GONZALES,Montgomery College,77,F,2,0,0,0,0,0,0,0,0,0
STEVEN DELISI,Montgomery College,37,D,2,0,0,0,0,0,0,0,0,0
JEEVAN DEOL,Cornell University,34,RW,2,0,0,0,0,0,0,0,2,0
ELORA RAKES,University of Mary Washington,12,–,2,0,0,0,0,0,0,0,0,0
BENJAMIN KOZLOFF,Bucknell University,44,F,2,0,0,0,0,0,0,0,0,0
BRYCE HERPIN,St Bonaventure University,44,F,2,0,0,0,0,0,0,0,0,0
BRAIDEN SPARKES,Anna Maria College,24,"F, RW",2,0,0,0,0,0,0,0,2,0
CALLIE POOLE,University of Mary Washington,16,–,2,0,0,0,0,0,0,0,0,0
